Исходное слово,Перевод,Количество упоминаний
отец,father,37
строитель,builder,19
в,in,11
и,and,10
он,??,9
не,not,8
я,.,7
что,what,6
с,с,6
делать,make,6
гамаль,gamal,4
писать,write,4
да,yes,4
мы,we're,4
а,а,4
быть,be,4
добрый,good,3
утро,morning,3
отвечать,reply,3
сеть,network,3
к,к,3
нет,no,3
это,is,3
они,oni,3
ещё,more,3
всё,everything,3
несколько,several,3
отставать,to lag behind,3
случиться,happen,2
звонить,call,2
без,without,2
дом,house,2
ввп,gdp,2
ставленник,appointmentid,2
сейчас,"now,",2
весь,весь,2
ты,ration,2
подойти,approach,2
комендант,supervisor,2
про,on,2
уже,your business,2
на,moscow city committee for state registration of real estate titles,2
говорить,speak,2
тип,type,2
знать,aristocracy,2
сидеть,sit,2
круто,kruto,2
у,y,2
помогать,to assist,2
защититься,to protect yourself,2
ребята,ребята,2
чертёж,blueprint,2
артём,артём :,1
привет,hi,1
пока,while,1
странно,strange...,1
чтоть,what,1
наверное,robley.,1
периодически,periodically,1
оставлять,putting,1
внимание,attention,1
хорошо,good,1
белый,white,1
перед,prior to,1
начало,start,1
предвыборный,pre-election,1
компания,company,1
колонна,column,1
начать,to start,1
создавать,create,1
инфополе,information field,1
страна,country,1
цель,target,1
дискредитация,discreditation,1
президент,president of the,1
команда,command,1
так,so,1
много,many,1
интересный,interesting,1
увидеть,"um, see",1
услышать,to hear... ,1
спросить,to ask,1
находить,to find you. ,1
подозрительный,dubious,1
поинтересоваться,to ask,1
сказать,tell,1
прямо,straight,1
сутки,day,1
общага,dormitory,1
звонок,bell ,1
мочь,might,1
родитель,parent,1
часто,is,1
созваниваться,to be called up,1
вчера,yesterday,1
ночью,at night,1
идти,going,1
трамп,trump,1
кремль,kremlin,1
берлускон,berluscon,1
бывший,ex.,1
премьер,the principal dancer,1
австрия,austria,1
она,she,1
питербургский,petersburg,1
университет,university,1
преподавать,to teach,1
стоить,to cost,1
задуматься,think,1
такой,so,1
всемогущий,almighty,1
сегодня,today,1
спать,sleep,1
ложиться,go to bed,1
ранний,early,1
хотеть,want,1
встать,get up,1
рано,early help nfa,1
пойти,to go,1
час,hours,1
домашка,home,1
ого,.,1
долго,a long time,1
вместе,together with&#x0d;,1
задача,task,1
домашний,domashny,1
вы,vy,1
там,there,1
коллективный,collective,1
процесс,process,1
прям,direct,1
одновременно,simultaneously,1
информатика,information science ,1
реферат,abstract,1
одногруппник,classmate,1
себя,it,1
комната,room,1
ааааа,aaaaa,1
ну,well,1
стать,get,1
техникум,college,1
диплом,diploma,1
то,than,1
вот,bdt,1
кто,who,1
плохой,bad,1
учиться,study,1
человек,people,1
записка,brief,1
расчёт,settlement,1
очень,very,1
быстро,quickly,1
получиться,to turn out,1
генри,henry's law,1
киссинджер,kissinger,1
скончаться,скончаться,1
день,day,1
о,c,1
соловей,nightingale,1
дайва,dive,1
сын,son,1
